ticker,prediction_quarter,revenues
AAPL,2005-07-01,3520000000
AAPL,2005-10-01,3678000000
AAPL,2006-01-01,5749000000
AAPL,2006-04-01,4359000000
AAPL,2006-07-01,4370000000
AAPL,2006-10-01,4370000000
AAPL,2007-01-01,7115000000
AAPL,2007-04-01,5264000000
AAPL,2007-07-01,5410000000
AAPL,2007-10-01,6217000000
AAPL,2008-01-01,9608000000
AAPL,2008-04-01,7512000000
AAPL,2008-07-01,7464000000
AAPL,2008-10-01,7895000000
AAPL,2009-01-01,11880000000
AAPL,2009-04-01,9084000000
AAPL,2009-07-01,9734000000
AAPL,2009-10-01,9870000000
AAPL,2010-01-01,15683000000
AAPL,2010-04-01,13499000000
AAPL,2010-07-01,15700000000
AAPL,2010-10-01,20343000000
AAPL,2011-01-01,26741000000
AAPL,2011-04-01,24667000000
AAPL,2011-07-01,28571000000
AAPL,2011-10-01,28270000000
AAPL,2012-01-01,46333000000
AAPL,2012-04-01,39186000000
AAPL,2012-07-01,35023000000
AAPL,2012-10-01,35966000000
AAPL,2013-01-01,54512000000
AAPL,2013-04-01,43603000000
AAPL,2013-07-01,35323000000
AAPL,2013-10-01,37472000000
AAPL,2014-01-01,57594000000
AAPL,2014-04-01,45646000000
AAPL,2014-07-01,37432000000
AAPL,2014-10-01,42123000000
AAPL,2015-01-01,74599000000
AAPL,2015-04-01,58010000000
AAPL,2015-07-01,49605000000
AAPL,2015-10-01,51501000000
AAPL,2016-01-01,75872000000
AAPL,2016-04-01,50557000000
AAPL,2016-07-01,42358000000
AAPL,2016-10-01,46852000000
AAPL,2017-01-01,78351000000
AAPL,2017-04-01,52896000000
AAPL,2017-07-01,45408000000
AAPL,2017-10-01,52579000000
AAPL,2018-01-01,88293000000
AAPL,2018-04-01,61137000000
AAPL,2018-07-01,53265000000
AAPL,2018-10-01,62900000000
AAPL,2019-01-01,84310000000
AAPL,2019-04-01,58015000000
AAPL,2019-07-01,53809000000
AAPL,2019-10-01,64040000000
AAPL,2020-01-01,91819000000
AAPL,2020-04-01,58313000000
AAPL,2020-07-01,59685000000
AAPL,2020-10-01,64698000000
AAPL,2021-01-01,111439000000
AAPL,2021-04-01,89584000000
AAPL,2021-07-01,81434000000
AAPL,2021-10-01,83360000000
AAPL,2022-01-01,123945000000
AAPL,2022-04-01,97278000000
AAPL,2022-07-01,82959000000
AAPL,2022-10-01,90146000000
AAPL,2023-01-01,117154000000
AAPL,2023-04-01,94836000000
AAPL,2023-07-01,81797000000
AAPL,2023-10-01,89498000000
AAPL,2024-01-01,119575000000
AAPL,2024-04-01,90753000000
AAPL,2024-07-01,85777000000
AAPL,2024-10-01,94930000000
AAPL,2025-01-01,124300000000
AAPL,2025-04-01,95359000000
AAPL,2025-07-01,94036000000
GOOGL,2005-07-01,1384495000
GOOGL,2005-10-01,1578456000
GOOGL,2006-01-01,1919092000
GOOGL,2006-04-01,2253800000
GOOGL,2006-07-01,2456000000
GOOGL,2006-10-01,2689700000
GOOGL,2007-01-01,3205498000
GOOGL,2007-04-01,3664000000
GOOGL,2007-07-01,3872000000
GOOGL,2007-10-01,4231400000
GOOGL,2008-01-01,4826686000
GOOGL,2008-04-01,5186000000
GOOGL,2008-07-01,5367200000
GOOGL,2008-10-01,5541400000
GOOGL,2009-01-01,5700950000
GOOGL,2009-04-01,5509000000
GOOGL,2009-07-01,5523000000
GOOGL,2009-10-01,5945000000
GOOGL,2010-01-01,6673863000
GOOGL,2010-04-01,6775000000
GOOGL,2010-07-01,6820000000
GOOGL,2010-10-01,7286000000
GOOGL,2011-01-01,8440000000
GOOGL,2011-04-01,8575000000
GOOGL,2011-07-01,9026000000
GOOGL,2011-10-01,9720000000
GOOGL,2012-01-01,10583000000
GOOGL,2012-04-01,10645000000
GOOGL,2012-07-01,11807000000
GOOGL,2012-10-01,13304000000
GOOGL,2013-01-01,13215000000
GOOGL,2013-04-01,12951000000
GOOGL,2013-07-01,13107000000
GOOGL,2013-10-01,13754000000
GOOGL,2014-01-01,16858000000
GOOGL,2014-04-01,15420000000
GOOGL,2014-07-01,15955000000
GOOGL,2014-10-01,16523000000
GOOGL,2015-01-01,18103000000
GOOGL,2015-04-01,17258000000
GOOGL,2015-07-01,17727000000
GOOGL,2015-10-01,18675000000
GOOGL,2016-01-01,21329000000
GOOGL,2016-04-01,20257000000
GOOGL,2016-07-01,21500000000
GOOGL,2016-10-01,22451000000
GOOGL,2017-01-01,26064000000
GOOGL,2017-04-01,24750000000
GOOGL,2017-07-01,26010000000
GOOGL,2017-10-01,27772000000
GOOGL,2018-01-01,32323000000
GOOGL,2018-04-01,31146000000
GOOGL,2018-07-01,32657000000
GOOGL,2018-10-01,33740000000
GOOGL,2019-01-01,39276000000
GOOGL,2019-04-01,36339000000
GOOGL,2019-07-01,38944000000
GOOGL,2019-10-01,40499000000
GOOGL,2020-01-01,46075000000
GOOGL,2020-04-01,41159000000
GOOGL,2020-07-01,38297000000
GOOGL,2020-10-01,46173000000
GOOGL,2021-01-01,56898000000
GOOGL,2021-04-01,55314000000
GOOGL,2021-07-01,61880000000
GOOGL,2021-10-01,65118000000
GOOGL,2022-01-01,75325000000
GOOGL,2022-04-01,68011000000
GOOGL,2022-07-01,69685000000
GOOGL,2022-10-01,69092000000
GOOGL,2023-01-01,76048000000
GOOGL,2023-04-01,69787000000
GOOGL,2023-07-01,74604000000
GOOGL,2023-10-01,76693000000
GOOGL,2024-01-01,86310000000
GOOGL,2024-04-01,80539000000
GOOGL,2024-07-01,84742000000
GOOGL,2024-10-01,88268000000
GOOGL,2025-01-01,96469000000
GOOGL,2025-04-01,90234000000
GOOGL,2025-07-01,96428000000
MSFT,2005-07-01,10161000000
MSFT,2005-10-01,9741000000
MSFT,2006-01-01,11837000000
MSFT,2006-04-01,10900000000
MSFT,2006-07-01,11804000000
MSFT,2006-10-01,10811000000
MSFT,2007-01-01,12542000000
MSFT,2007-04-01,14398000000
MSFT,2007-07-01,13371000000
MSFT,2007-10-01,13762000000
MSFT,2008-01-01,16367000000
MSFT,2008-04-01,14454000000
MSFT,2008-07-01,15837000000
MSFT,2008-10-01,15061000000
MSFT,2009-01-01,16629000000
MSFT,2009-04-01,13648000000
MSFT,2009-07-01,13099000000
MSFT,2009-10-01,12920000000
MSFT,2010-01-01,19022000000
MSFT,2010-04-01,14503000000
MSFT,2010-07-01,16039000000
MSFT,2010-10-01,16195000000
MSFT,2011-01-01,19953000000
MSFT,2011-04-01,16428000000
MSFT,2011-07-01,17367000000
MSFT,2011-10-01,17372000000
MSFT,2012-01-01,20885000000
MSFT,2012-04-01,17407000000
MSFT,2012-07-01,18059000000
MSFT,2012-10-01,16008000000
MSFT,2013-01-01,21456000000
MSFT,2013-04-01,20489000000
MSFT,2013-07-01,19896000000
MSFT,2013-10-01,18529000000
MSFT,2014-01-01,24519000000
MSFT,2014-04-01,20403000000
MSFT,2014-07-01,23382000000
MSFT,2014-10-01,23201000000
MSFT,2015-01-01,26470000000
MSFT,2015-04-01,21729000000
MSFT,2015-07-01,22180000000
MSFT,2015-10-01,20379000000
MSFT,2016-01-01,23796000000
MSFT,2016-04-01,20531000000
MSFT,2016-07-01,20614000000
MSFT,2016-10-01,21928000000
MSFT,2017-01-01,25826000000
MSFT,2017-04-01,23212000000
MSFT,2017-07-01,23317000000
MSFT,2017-10-01,24538000000
MSFT,2018-01-01,28918000000
MSFT,2018-04-01,26819000000
MSFT,2018-07-01,30085000000
MSFT,2018-10-01,29084000000
MSFT,2019-01-01,32471000000
MSFT,2019-04-01,30571000000
MSFT,2019-07-01,33717000000
MSFT,2019-10-01,33055000000
MSFT,2020-01-01,36906000000
MSFT,2020-04-01,35021000000
MSFT,2020-07-01,38033000000
MSFT,2020-10-01,37154000000
MSFT,2021-01-01,43076000000
MSFT,2021-04-01,41706000000
MSFT,2021-07-01,46152000000
MSFT,2021-10-01,45317000000
MSFT,2022-01-01,51728000000
MSFT,2022-04-01,49360000000
MSFT,2022-07-01,51865000000
MSFT,2022-10-01,50122000000
MSFT,2023-01-01,52747000000
MSFT,2023-04-01,52857000000
MSFT,2023-07-01,56189000000
MSFT,2023-10-01,56517000000
MSFT,2024-01-01,62020000000
MSFT,2024-04-01,61858000000
MSFT,2024-07-01,64727000000
MSFT,2024-10-01,65585000000
MSFT,2025-01-01,69632000000
MSFT,2025-04-01,70066000000
MSFT,2025-07-01,76441000000
